1,ru_RU,Переведите с английского на русский слово: 'I',я;ты;он;она,я
2,ru_RU,Переведите с английского на русский слово: 'Like',нравится;люблю;ненавижу,нравится;люблю
3,ru_RU,Переведите с английского на русский слово: 'Eat',бросать;кушать;,кушать;есть
4,ru_RU,Переведите с английского на русский слово: 'Tasty',кислый;сладкий;вкусный,вкусный
5,ru_RU,Переведите с английского на русский слово: 'Orange',оранжевый;апельсин;яблоко,апельсин

1,en_US,Translate word from Russian to English: 'Я',I;you;he;she,I
2,en_US,Translate word from Russian to English: 'люблю',like;love;hate,like;love
3,en_US,Translate word from Russian to English: 'кушать',throw;eat;,eat
4,en_US,Translate word from Russian to English: 'вкусный',sour;sweet;tasty,tasty
5,en_US,Translate word from Russian to English: 'апельсин',orange;apple,orange